Experiment_ID,Method_Category,Features,K-Fold,CV_Reward_0.85,CV_Avg_Performance,CV_Avg_Cost,Model_Distribution,Public_Kaggle_Score
ridge,regression,meta_len1_code1_math1,5,0.4555,0.5675,0.0138,"{'Model_K': 7792, 'Model_H': 1985, 'Model_D': 217, 'Model_B': 109, 'Model_C': 39, 'Model_A': 32, 'Model_F': 6, 'Model_I': 1, 'Model_J': 1}",
xgboost,cost_sensitive,dense_Qwen-Qwen3-Embedding-8B,10,0.4555,0.5758,0.0174,"{'Model_K': 5386, 'Model_H': 1846, 'Model_F': 808, 'Model_D': 508, 'Model_C': 406, 'Model_B': 367, 'Model_J': 349, 'Model_G': 227, 'Model_I': 169, 'Model_E': 58, 'Model_A': 58}",
lightgbm,regression,tfidf_max5000_ng1-1,5,0.4553,0.5634,0.0121,"{'Model_K': 3625, 'Model_H': 1648, 'Model_F': 1319, 'Model_B': 715, 'Model_D': 669, 'Model_J': 524, 'Model_I': 438, 'Model_G': 357, 'Model_C': 324, 'Model_E': 303, 'Model_A': 260}",
random_forest,regression,dense_all-MiniLM-L6-v2,5,0.4542,0.563,0.0125,"{'Model_K': 3832, 'Model_H': 1532, 'Model_F': 1356, 'Model_B': 986, 'Model_D': 919, 'Model_J': 563, 'Model_C': 258, 'Model_I': 244, 'Model_E': 190, 'Model_G': 186, 'Model_A': 116}",
lightgbm,cost_sensitive,dense_Qwen-Qwen3-Embedding-8B,10,0.4525,0.5444,0.0053,"{'Model_K': 8388, 'Model_C': 487, 'Model_H': 446, 'Model_D': 444, 'Model_E': 151, 'Model_F': 120, 'Model_J': 110, 'Model_G': 15, 'Model_I': 11, 'Model_B': 8, 'Model_A': 2}",
lightgbm,cost_sensitive,dense_all-MiniLM-L6-v2,5,0.4518,0.5485,0.0074,"{'Model_K': 7886, 'Model_H': 766, 'Model_C': 512, 'Model_D': 470, 'Model_F': 228, 'Model_J': 145, 'Model_E': 112, 'Model_B': 24, 'Model_G': 19, 'Model_I': 17, 'Model_A': 3}",
lightgbm,regression,dense_Qwen-Qwen3-Embedding-8B,10,0.4516,0.5632,0.014,"{'Model_K': 2571, 'Model_H': 1736, 'Model_F': 1386, 'Model_B': 933, 'Model_D': 844, 'Model_J': 631, 'Model_I': 532, 'Model_G': 449, 'Model_C': 401, 'Model_A': 355, 'Model_E': 344}",
xgboost,cost_sensitive,dense_all-MiniLM-L6-v2,5,0.4511,0.5752,0.0195,"{'Model_K': 4988, 'Model_H': 2145, 'Model_F': 948, 'Model_D': 518, 'Model_B': 456, 'Model_C': 320, 'Model_J': 272, 'Model_G': 221, 'Model_I': 174, 'Model_E': 83, 'Model_A': 57}",
Static_Model_K,Baseline,-,-,0.4504,0.5324,0.0011,{'Model_K': 10182},
xgboost,regression,tfidf_max30000_ng1-3,10,0.4503,0.5586,0.0126,"{'Model_K': 3344, 'Model_H': 1682, 'Model_F': 1226, 'Model_B': 741, 'Model_D': 701, 'Model_J': 584, 'Model_I': 430, 'Model_C': 405, 'Model_G': 388, 'Model_E': 362, 'Model_A': 319}",
random_forest,cost_sensitive,dense_Qwen-Qwen3-Embedding-8B,10,0.4502,0.5323,0.0012,"{'Model_K': 10109, 'Model_E': 30, 'Model_D': 26, 'Model_C': 9, 'Model_H': 3, 'Model_J': 2, 'Model_F': 1, 'Model_B': 1, 'Model_I': 1}",
random_forest,cost_sensitive,w2v_size100_win5,5,0.45,0.5331,0.0016,"{'Model_K': 9312, 'Model_E': 290, 'Model_C': 262, 'Model_D': 184, 'Model_H': 37, 'Model_J': 37, 'Model_F': 23, 'Model_B': 13, 'Model_I': 13, 'Model_A': 7, 'Model_G': 4}",
